Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,88.3324966430664,88.40750122070312,86.8949966430664,88.0625,87.79621887207031,38987600
2020-06-02,87.9625015258789,88.37249755859375,86.58000183105469,88.25250244140625,87.98565673828125,39132000
2020-06-03,88.22250366210938,88.6624984741211,87.0,87.69499969482422,87.4298324584961,36544000
2020-06-04,87.27999877929688,89.43250274658203,86.7750015258789,87.66500091552734,87.43980407714844,42428000
2020-06-05,87.94499969482422,89.97000122070312,87.08000183105469,89.19999694824219,88.97087860107422,48174800
2020-06-08,88.77249908447266,88.89749908447266,86.85749816894531,88.05000305175781,87.82382202148438,38773600
2020-06-09,88.0,91.09750366210938,87.51249694824219,90.45999908447266,90.2276382446289,46848800
2020-06-10,91.67749786376953,95.0,91.53500366210938,93.6675033569336,93.42689514160156,63218000
2020-06-11,91.5,92.61250305175781,87.86000061035156,87.9625015258789,87.7365493774414,58365200
2020-06-12,91.625,91.87249755859375,87.03250122070312,89.32499694824219,89.09554290771484,57090800
2020-06-15,88.15249633789062,91.82250213623047,87.4375,91.73750305175781,91.5018539428711,40000400
2020-06-16,92.25,92.6675033569336,88.38749694824219,90.68499755859375,90.4520492553711,53571600
2020-06-17,91.13749694824219,92.98999786376953,90.70249938964844,92.36000061035156,92.12274932861328,40830400
2020-06-18,92.2699966430664,92.82499694824219,91.1449966430664,92.18000030517578,91.9432144165039,25440800
2020-06-19,92.42500305175781,94.44999694824219,92.27249908447266,92.61250305175781,92.37461853027344,52416000
2020-06-22,93.0,95.3125,92.73249816894531,95.26750183105469,95.02278900146484,39846800
2020-06-23,95.51000213623047,96.42500305175781,94.07499694824219,94.5,94.25724792480469,37510800
2020-06-24,94.76249694824219,95.56500244140625,91.44499969482422,92.3550033569336,92.1177749633789,44937200
2020-06-25,93.55750274658203,95.05000305175781,91.82250213623047,94.9000015258789,94.6562271118164,37607200
2020-06-26,95.0,95.0,91.25,91.55000305175781,91.3148422241211,59208400
2020-06-29,91.69750213623047,92.04499816894531,89.0,92.0,91.763671875,34224800
2020-06-30,93.13999938964844,95.26249694824219,92.66500091552734,94.97750091552734,94.7335205078125,36789200
2020-07-01,95.2074966430664,95.75749969482422,94.12999725341797,95.30000305175781,95.05520629882812,32664800
2020-07-02,96.38999938964844,97.375,95.78250122070312,96.12249755859375,95.87557983398438,36405600
2020-07-06,97.4175033569336,99.0875015258789,97.125,98.39250183105469,98.13976287841797,31589200
2020-07-07,99.4625015258789,100.69999694824219,98.50749969482422,98.71749877929688,98.46391296386719,35780000
2020-07-08,99.9375,102.25,99.65499877929688,102.16000366210938,101.8975830078125,36548000
2020-07-09,103.80249786376953,105.69999694824219,102.33499908447266,105.08999633789062,104.82005310058594,49454800
2020-07-10,105.88749694824219,106.55249786376953,103.7874984741211,104.7925033569336,104.52332305908203,49767600
2020-07-13,105.94999694824219,107.92250061035156,100.25,100.52249908447266,100.26428985595703,45707600
2020-07-14,100.75,104.02749633789062,97.8550033569336,103.7699966430664,103.50344848632812,54267600
2020-07-15,104.14250183105469,104.33000183105469,100.55750274658203,102.27249908447266,102.0097885131836,40398400
2020-07-16,100.1500015258789,102.06749725341797,98.95500183105469,101.34750366210938,101.08717346191406,34496400
2020-07-17,102.25499725341797,102.48500061035156,100.87750244140625,102.01499938964844,101.75296020507812,26628400
2020-07-20,102.74250030517578,105.3125,101.56749725341797,105.10749816894531,104.8375015258789,28485200
2020-07-21,105.12999725341797,105.5999984741211,102.86750030517578,103.28500366210938,103.01969146728516,27703600
2020-07-22,103.67500305175781,106.0250015258789,102.91500091552734,104.38749694824219,104.11935424804688,36729200
2020-07-23,104.5,105.47000122070312,100.3125,101.29750061035156,101.03730010986328,41166000
2020-07-24,98.75,103.64749908447266,97.7699966430664,101.94499969482422,101.6831283569336,47329200
2020-07-27,102.32250213623047,104.4175033569336,102.17749786376953,104.21499633789062,103.94730377197266,29213200
2020-07-28,103.74250030517578,103.81999969482422,102.09249877929688,102.15499877929688,101.89258575439453,27163600
2020-07-29,103.90750122070312,105.1624984741211,103.47000122070312,104.65499877929688,104.38616943359375,28450800
2020-07-30,103.75,106.2300033569336,102.95249938964844,106.13999938964844,105.86737060546875,30888000
2020-07-31,105.63249969482422,107.66500091552734,104.33000183105469,106.14749908447266,105.87481689453125,38608000
2020-08-03,107.32499694824219,110.98750305175781,107.15249633789062,110.10250091552734,109.8196792602539,41272000
2020-08-04,110.5,112.27749633789062,109.05999755859375,112.27749633789062,111.98908233642578,31033600
2020-08-05,112.44000244140625,113.71749877929688,111.6624984741211,112.86750030517578,112.57758331298828,24992400
2020-08-06,113.49749755859375,113.58000183105469,111.7874984741211,113.3550033569336,113.0638198852539,24431600
2020-08-07,113.125,115.04750061035156,110.375,111.99500274658203,111.70731353759766,34251600
2020-08-10,113.34249877929688,114.0824966430664,108.56500244140625,111.6500015258789,111.36320495605469,42779600
2020-08-11,110.73750305175781,111.36750030517578,107.9574966430664,108.5,108.22129821777344,35451200
2020-08-12,109.90750122070312,114.66999816894531,109.5824966430664,114.40249633789062,114.1086196899414,46441200
2020-08-13,115.45999908447266,117.21749877929688,113.55750274658203,114.43000030517578,114.13606262207031,37446000
2020-08-14,115.30000305175781,117.04750061035156,114.40499877929688,115.63999938964844,115.34294891357422,36643600
2020-08-17,118.51249694824219,124.09750366210938,118.17250061035156,123.37000274658203,123.0531005859375,62130000
2020-08-18,124.5,124.95999908447266,120.86250305175781,122.60749816894531,122.29256439208984,50344800
2020-08-19,122.96499633789062,123.1500015258789,120.9800033569336,121.38500213623047,121.07319641113281,62262400
2020-08-20,119.75,123.75,118.7874984741211,121.41000366210938,121.0981216430664,92138800
2020-08-21,122.01750183105469,128.08749389648438,121.95249938964844,126.83499908447266,126.50919342041016,99986800
2020-08-24,128.83749389648438,129.125,125.07499694824219,127.20249938964844,126.87574005126953,49056400
2020-08-25,126.30750274658203,127.61250305175781,125.73750305175781,127.5,127.17249298095703,28907600
2020-08-26,127.99250030517578,128.68499755859375,126.77749633789062,127.7300033569336,127.40188598632812,32124400
2020-08-27,127.81500244140625,128.5,125.66500091552734,126.28250122070312,125.95812225341797,31760400
